"frame","x [nm]","y [nm]","z [nm]"
9.0,50.4,103.7,-30.0
18.0,48.8,97.9,-30.0
27.0,52.1,95.3,-25.0
36.0,49.0,96.8,-20.0
45.0,49.3,98.6,-25.0
54.0,51.1,97.4,-25.0
63.0,50.5,98.2,-25.0
72.0,49.6,95.1,-20.0
81.0,47.2,99.5,-30.0
90.0,51.7,102.5,-20.0
